"row_no";"threat_id";"top_level_group";"asset_group_code";"method_code";"asset_group_name";"threat";"attack_method";"passport_asset";"flow_ids";"actuality";"coverage_mode";"emulation_profile";"native_anchor";"project_rules";"component_note"
"11";"УБИ.1.1.12";"1";"1";"12";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет считывания вводимой и выводимой информации";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.12 Считывание вводимой и выводимой информации. Техники: СП.12.1 Считывание нажатий клавиш на клавиатуре; СП.12.3 Снятие изображение с монитора; и др.. Компоненты: К.1.2.1 Операционная система; К.2.1.2 Монитор; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"12";"УБИ.1.1.13";"1";"1";"13";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет реализации социальной инженерии";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.1.1 Администратор; К.4.2.1 Непривилегированный сотрудник.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"13";"УБИ.1.1.16";"1";"1";"16";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет нарушения изоляции";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.16 Нарушение изоляции. Техники: СП.16.2 Нарушение изоляции процессов. Компоненты: К.1.2.1 Операционная система.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"14";"УБИ.1.1.18";"1";"1";"18";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"15";"УБИ.1.1.24";"1";"1";"24";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет физического воздействия";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.24 Физическое воздействие. Техники: СП.24.2 Внесение изменений в конфигурацию на уровне оборудования. Компоненты: К.2.1.2 Монитор; К.2.1.3 Мышь; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"16";"УБИ.1.1.25";"1";"1";"25";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.2 Атаки на протоколы достижения консенсуса; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"17";"УБИ.1.1.26";"1";"1";"26";"АРМ оператора / наземная станция";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на АРМ оператора / ПК с QGroundControl. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.2 Анализ временных задержек операций с зашифрованными данными сервера системы хранения данных; и др.. Компоненты: К.1.3.1 Системные и сетевые службы.";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"F1, F2, F4, F9";"Условно актуальна";"proxy_emulation";"operator_workstation_proxy";"scenarios/attack_arm_disarm_flap.py";"command_burst, arm_command_burst, gateway_blocked_command";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"18";"УБИ.1.2.1";"1";"2";"1";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет эксплуатации уязвимостей";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"19";"УБИ.1.2.2";"1";"2";"2";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков конфигурации";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"20";"УБИ.1.2.3";"1";"2";"3";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков архитектуры";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"21";"УБИ.1.2.4";"1";"2";"4";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту; СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"22";"УБИ.1.2.5";"1";"2";"5";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.2 Внедрение закладок, являющихся драйверами устройств; СП.5.3 Внедрение закладок, имитирующих интерфейсы служебных программ; и др.. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"23";"УБИ.1.2.7";"1";"2";"7";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети. Компоненты: К.2.2.8 Сетевой интерфейс.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"24";"УБИ.1.2.8";"1";"2";"8";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет сканирования сетевой инфраструктуры";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.8 Сканирование сетевой инфраструктуры. Техники: СП.8.5 Идентификация пользователей; СП.8.6 Обнаружение доступных общих сетевых каталогов. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"25";"УБИ.1.2.9";"1";"2";"9";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет изучения информации о системе";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.9 Изучение информации о системе. Техники: СП.9.6 Поиск файлов и каталогов. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"26";"УБИ.1.2.10";"1";"2";"10";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет атаки типа ""человек посередине""";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.7 Атаки на уровне каналов и сети, приводящие к изменению маршрутов. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"27";"УБИ.1.2.11";"1";"2";"11";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет применения скрытых каналов";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.11 Применение скрытых каналов. Техники: СП.11.1 Применение скрытых каналов по времени. Компоненты: К.1.3.1 Системные и сетевые службы; К.2.2.8 Сетевой интерфейс.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"28";"УБИ.1.2.12";"1";"2";"12";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет считывания вводимой и выводимой информации";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.12 Считывание вводимой и выводимой информации. Техники: СП.12.1 Считывание нажатий клавиш на клавиатуре; СП.12.6 Снятие информации выводимой на печать. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"29";"УБИ.1.2.13";"1";"2";"13";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет реализации социальной инженерии";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.1.1 Администратор.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"30";"УБИ.1.2.16";"1";"2";"16";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет нарушения изоляции";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.16 Нарушение изоляции. Техники: СП.16.2 Нарушение изоляции процессов. Компоненты: К.1.2.1 Операционная система.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"31";"УБИ.1.2.18";"1";"2";"18";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"32";"УБИ.1.2.25";"1";"2";"25";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.2 Атаки на протоколы достижения консенсуса; и др.. Компоненты: К.1.2.1 Операционная система; К.1.3.1 Системные и сетевые службы; и др..";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"33";"УБИ.1.2.26";"1";"2";"26";"Сервер мониторинга / PX4 SITL / SecurityMonitorApp";"Угроза утечки информации, обрабатываемой сервером, за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на сервер мониторинга, логирования, анализа событий или SITL-стенд. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.2 Анализ временных задержек операций с зашифрованными данными сервера системы хранения данных; и др.. Компоненты: К.1.3.1 Системные и сетевые службы.";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; RiskEngine; Responder; AuditLogger; PX4 SITL";"F7, F8, F10";"Условно актуальна";"proxy_emulation";"server_monitoring_proxy";"scenarios/attack_param_tamper.py";"param_write_attempt, px4_param_changed, mission_write_attempt";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
