"row_no";"threat_id";"threat";"emulation_profile";"coverage_mode";"detector_rules";"native_anchor";"flow_ids";"coverage_log";"profile_logs";"component_note"
"21";"УБИ.1.2.4";"Угроза утечки информации, обрабатываемой сервером, за счет внедрения вредоносного программного обеспечения";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"22";"УБИ.1.2.5";"Угроза утечки информации, обрабатываемой сервером, за счет внедрения программных и аппаратных закладок";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"23";"УБИ.1.2.7";"Угроза утечки информации, обрабатываемой сервером, за счет прослушивания (захвата) сетевого трафика";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"24";"УБИ.1.2.8";"Угроза утечки информации, обрабатываемой сервером, за счет сканирования сетевой инфраструктуры";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"25";"УБИ.1.2.9";"Угроза утечки информации, обрабатываемой сервером, за счет изучения информации о системе";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"26";"УБИ.1.2.10";"Угроза утечки информации, обрабатываемой сервером, за счет атаки типа ""человек посередине""";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"27";"УБИ.1.2.11";"Угроза утечки информации, обрабатываемой сервером, за счет применения скрытых каналов";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"28";"УБИ.1.2.12";"Угроза утечки информации, обрабатываемой сервером, за счет считывания вводимой и выводимой информации";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"29";"УБИ.1.2.13";"Угроза утечки информации, обрабатываемой сервером, за счет реализации социальной инженерии";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"30";"УБИ.1.2.16";"Угроза утечки информации, обрабатываемой сервером, за счет нарушения изоляции";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"31";"УБИ.1.2.18";"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков механизмов разграничения доступа";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"32";"УБИ.1.2.25";"Угроза утечки информации, обрабатываемой сервером, за счет атаки на системы с распределенным реестром";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"33";"УБИ.1.2.26";"Угроза утечки информации, обрабатываемой сервером, за счет воздействия через системы хранения и резервирования данных";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"34";"УБИ.1.3.1";"Угроза утечки информации с периферийного оборудования за счет эксплуатации уязвимостей";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"35";"УБИ.1.3.2";"Угроза утечки информации с периферийного оборудования за счет использования недостатков конфигурации";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"36";"УБИ.1.3.3";"Угроза утечки информации с периферийного оборудования за счет использования недостатков архитектуры";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"37";"УБИ.1.3.4";"Угроза утечки информации с периферийного оборудования за счет внедрения вредоносного программного обеспечения";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"38";"УБИ.1.3.5";"Угроза утечки информации с периферийного оборудования за счет внедрения программных и аппаратных закладок";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"39";"УБИ.1.3.7";"Угроза утечки информации с периферийного оборудования за счет прослушивания (захвата) сетевого трафика";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"40";"УБИ.1.3.9";"Угроза утечки информации с периферийного оборудования за счет изучения информации о системе";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"41";"УБИ.1.3.10";"Угроза утечки информации с периферийного оборудования за счет атаки типа ""человек посередине""";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"42";"УБИ.1.3.11";"Угроза утечки информации с периферийного оборудования за счет применения скрытых каналов";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"43";"УБИ.1.3.13";"Угроза утечки информации с периферийного оборудования за счет реализации социальной инженерии";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"44";"УБИ.1.3.16";"Угроза утечки информации с периферийного оборудования за счет нарушения изоляции";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"45";"УБИ.1.3.18";"Угроза утечки информации с периферийного оборудования за счет использования недостатков механизмов разграничения доступа";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"46";"УБИ.1.3.24";"Угроза утечки информации с периферийного оборудования за счет физического воздействия";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"47";"УБИ.1.3.25";"Угроза утечки информации с периферийного оборудования за счет атаки на системы с распределенным реестром";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"48";"УБИ.1.3.26";"Угроза утечки информации с периферийного оборудования за счет воздействия через системы хранения и резервирования данных";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"49";"УБИ.1.4.1";"Угроза утечки информации, хранящейся на устройстве хранения данных, за счет эксплуатации уязвимостей";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
